Name_of_coal,HGI (ASTM),Ash,V.M.,F.C,Total Sulphur,Phosphorus,Rank,Vitrinite %,Liptinite,Semi-Fusinite,Inertinite,Minerals,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,CSN/FSI,Initial Softening Temp.,Max. Fluidity ddpm,SiO2 ,Al2O3,Fe2O3 ,CaO ,MgO,Na2O ,K2O ,TiO2 ,Mn3O4 ,SO3,P2O5 ,BaO,SrO,ZnO,CRI ,CSR,C,H,N,O,S,Coal Category
Caval Ridge,87,10.6,22.5,66.9,0.61,0.035,1.29,70,0,21,6,0,0,0,0,0,5,35,35,20,5,0,0,0,0,8.5,415,1000,64.2,23.8,3.9,1.6,0.6,0.5,1.1,1.1,0,0.3,0.8,0.1,0,0,20,71,88.4,5,2,3.9,0.7,HCC
Goonyella,90,9,23.7,67.3,0.53,0.025,1.2,61,1,29,7,0,0,0,0,7,43,41,8,0,0,0,0,0,0,9,410,1000,57.3,32.4,4.5,1,0.8,0.4,0.9,1.8,0.1,0.3,0.6,0.1,0,0,22,67,88.4,5,1.9,4.1,0.6,HCC
Illawara (PHCC),85,9.6,24.2,66.2,0.39,0.045,1.18,60,0,33,3,3,0,0,0,10,25,55,5,0,0,0,0,0,0,7.5,400,2000,63.4,26.1,3.9,2.1,0.5,0.3,0.9,1.4,0,0.4,1.1,0.1,0,0,20,73,88.8,5,1.9,3.8,0.5,HCC
Moranbah North,80,9.9,21.8,68.2,0.53,0.04,1.3,64,0,26,6,4,0,0,0,0,4,44,48,4,0,0,0,0,0,9,420,650,54.8,33.4,4.77,1.57,1.02,0.58,0.63,1.61,0.04,0.46,0.82,0.05,0.08,0.02,22,70,88.7,4.98,1.99,3.75,0.6,HCC
PDN,85,10.1,22.8,67,0.53,0.044,1.26,63,0,25,7,0,0,0,0,0,17,54,29,0,0,0,0,0,0,8.5,420,800,62.5,25,3.9,2.6,0.7,0.3,0.9,1.2,0,1,1,0.1,0,0,26,68,88.5,4.9,1.9,4.1,0.6,HCC
Riverside,85,10.2,22.3,67.5,0.56,0.015,1.25,59,1,31,8,0,0,0,0,0,24,52,24,0,0,0,0,0,0,8.5,415,500,63.9,27.5,3.6,0.6,0.5,0.4,0.8,1.6,0,0.4,0.3,0,0,0,23,70,88.5,5,2,3.9,0.6,HCC
Blue creek,76,10.2,26.5,63.3,0.85,0.025,4.03,75.5,0,3.9,3.4,6,0,0,3,20.4,50.4,1.5,0,0,0,0,0,0,0,8.5,397,8078,50.1,31.4,7.3,2.1,1.1,0.9,2.3,1.7,0,1.7,0.8,0.3,0.2,0.1,19.4,68.1,78.83,4.7,1.74,3.68,0.85,HFCC
Elga,80,10,32,64,0.3,0.025,1.05,97,0,6.1,0,4.6,0,30,43,27,0,0,0,0,0,0,0,0,0,8,385,30000,46.6,21.5,8.8,10.1,3.46,0.79,1.2,1.4,0.09,4.74,1.4,0,0,0,23.4,57.6,79,5,1.4,4,0.87,HFCC
Leer ,76,7.3,32.13,60.37,1.05,0.025,4.12,64,0,3.9,6,4.2,0,0.6,13.4,32,15.4,2.6,0,0,0,0,0,0,0,8,368,30000,46.2,30.68,88.82,3.91,0.65,0.23,1.19,1.62,0.02,2.37,1.9,0,0,0,17.4,69,80.66,5.08,1.53,4.38,1.05,HFCC
Mt. Laurel,51,7.5,35.25,57.25,0.95,0.014,0.95,65.5,0,2.6,27.7,3.8,3.1,17.1,24.4,17.7,3.2,0,0,0,0,0,0,0,0,7.5,381,30000,49.89,34.44,5.74,1.97,0.49,0.36,2.02,1.92,0,1.62,0.42,0,0,0,27.1,55.8,79,5.2,1.5,5.8,1,HFCC
Leer/Russian HFCC,76,7.3,32.13,60.37,1.05,0.025,0.99,91,0,1.4,9,0,0,0.6,13.4,32,15.4,2.6,0,0,0,0,0,0,0,7.5,375,11000,54.3,28.5,4.8,3.6,1.5,0.6,1.2,1.2,0.1,1.4,0.35,0,0,0,26,58,79.5,5.82,0.88,5.36,0.7,HFCC
Uvalnaya,64,7.5,35.25,57.25,0.95,0.014,0.95,87,0,2.6,14,4,3.1,17.1,24.4,17.7,3.2,0,0,0,0,0,0,0,0,8.5,380,30000,55.98,28.61,4.2,2.08,1.2,0.93,2.3,1.2,0.03,0.55,0.42,0,0,0,26.6,49.9,70.4,4.69,2.16,5.71,1,HFCC
R.PCI,74,8.4,18.4,73.2,0.5,0.04,1.48,52,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,410,1,56.35,27.9,4.58,2.54,0.63,0.6,1.34,0.91,0,3.9,1.25,0,3.9,0,35,57,88.19,3.99,2.35,4.94,0.53,PCI
Aus. SHCC,90,11.7,25.1,63.1,0.63,0.035,1.12,61,1,22,6,0,0,3,12,25,30,20,10,0,0,0,0,0,0,8,415,1200,56.1,28.6,7.3,1.5,1.2,0.7,1.1,1.4,0.1,0.3,0.7,0.1,0,0,25,53,87.3,5.2,1.9,4.8,0.7,SHCC
Daunia (SHCC),85,8.1,22.4,69.5,0.46,0.041,1.27,52,0,36,8,0,0,0,0,0,10,60,30,0,0,0,0,0,0,8,425,200,47.5,29.3,9,5.9,1.1,0.2,0.6,1.5,0.1,3,1.1,0,0,0,35,57,88.7,4.8,1.7,4.3,0.5,SHCC
Eagle crrek,80,8.4,24,66.75,0.9,0.025,1.26,74,1.5,24.5,0,0,0,0,0,3,15,58,22,2,0,0,0,0,0,9,405,2500,53.7,31.65,5.88,1.73,0.74,0.51,1.62,1.64,0.32,1.54,0.64,0.1,0,0,22,68,88.1,4.7,2.2,4.4,0.8,SHCC
Lake Vermont,80,8,22,67,0.5,0.08,1.19,51,0,35,7,0,0,0,0,0,5,55,40,0,0,0,0,0,0,7,420,100,52.2,30.1,7.2,3.1,1.18,0.47,1.12,1.56,0.06,0.36,2.06,0.07,0.08,0.01,25,62,89,4.8,1.8,4,0.4,SHCC
Metropolitan,85,10.6,19.2,70.2,0.35,0.061,1.39,36,0,55,5,4,0,0,0,0,0,10,65,25,0,0,0,0,0,6.5,425,50,50.5,37.5,4.4,1.1,0.6,0.6,0.8,2.1,0.02,0.4,1.1,0.5,0.4,0,24,62,89,4.7,1.7,4.19,0.41,SHCC
Olive Down,84,9.9,19.8,64,0.46,0.061,1.39,53,0,42,2,3,0,0,0,0,0,10,50,40,0,0,0,0,0,7,430,50,56.2,27.4,5.25,3.64,1.22,0.36,1.5,1.55,0,0,1.09,0.12,0.06,0.02,30,62,88.9,4.64,1.81,4.18,0.47,SHCC
Poitrel,85,8.5,24.8,66.7,0.41,0.061,1.11,48,2,40,7,0,0,0,0,40,56,4,0,0,0,0,0,0,0,7.5,420,250,46.9,30.8,10.4,4.3,1.3,0.2,0.8,1.6,0.1,1.8,1.6,0.1,0,0,41,45,87.8,4.8,1.7,5.3,0.4,SHCC
Teck Venture,84,9.5,23,66.4,0.4,0.06,1.17,49.8,0,17.1,35.2,4.9,0,2,6,12,38,34,8,0,0,0,0,0,0,6,405,100,57.3,29.8,4.2,2.1,0.9,0.2,0.9,1.7,0,0.5,1.56,0,0,0,25,64,79.9,4.3,1.2,4.6,0.4,SHCC
Amonate,92,6.45,36.5,58,0.85,0.025,1.3,67.6,0,2.8,0,0,0,0,0,9.2,12.8,11.6,12.2,14.5,7.3,0,0,0,0,8.5,415,65,48.42,26.93,7.56,5.64,1.5,0.33,1.55,0,0,5.05,0.07,0,0,0,0,0,84.6,4.59,1.35,1.28,0.68,SHCC
Indonasian,105,2.7,24.4,46.6,0.6,0.025,1.17,84.2,1.5,0.8,8.5,5,0,0,5,42,47,6,0,0,0,0,0,0,0,8,415,700,53.4,23.92,9.17,2.44,1.73,2.17,1.21,1.05,0.023,3.54,0.16,0,0,0,0,15,76.06,4.55,1.44,6.42,0,SHCC
Low Ash SHCC/ SHCC-BHP,90,11.9,24.9,63.2,0.61,0.035,1.12,62,1,22,6,0,0,3,12,25,30,20,10,0,0,0,0,0,0,8.5,415,1440,56.1,28.6,7.3,1.5,1.2,0.7,1.1,1.4,0.1,0.3,0.7,0.1,0,0,25,55,87.3,5.2,1.9,4.8,0.7,SHCC
Dhamra SHCC PDN,80,8,22,67,0.5,0.08,1.18,63,1,21,11,4,0,0,0,0,5,55,40,0,0,0,0,0,0,8.5,415,275,46.9,30.8,10.4,4.3,1.3,0.2,0.8,1.6,0.1,1.8,1.6,0.1,0,0,27,55,87.8,4.8,1.7,5.3,0.4,SHCC
Scratch Coal,79,11.22,23.25,64.53,0.3,0.004,1.15,58,0,24,19,2,13,35,17,22,2,8,3,0,0,0,0,0,0,8,433,10,52,32.3,5.3,2.1,0.9,0.42,1.4,1,0.06,1.5,1.6,0,0,0,27,55,87,5,1.8,3.8,0.6,WC
E.Soft,59,11.22,23.25,64.53,0.3,0.004,1.15,88,0,24,19,2,13,35,17,22,2,8,3,0,0,0,0,0,0,4.5,433,2,51.5,24.8,16.7,1.48,0.61,0.31,1.6,1,0.06,1.5,1.6,0,0,0,27,55,87,5,1.8,3.8,0.6,WC
Indian Coal Dhanbaad,79,18.32,25.3,56.3,0.3,0.004,1.15,58,0,24,19,2,13,35,17,22,2,8,3,0,0,0,0,0,0,6.5,433,10,52,32.3,5.3,2.1,0.9,0.42,1.4,1,0.06,1.5,1.6,0,0,0,27,55,87,5,1.8,3.8,0.6,WC
HCC/ SHCC Contaminated Coal,59,11.22,23.25,64.53,0.3,0.004,1.15,88,0,24,19,2,13,35,17,22,2,8,3,0,0,0,0,0,0,4.5,433,2,51.5,24.8,16.7,1.48,0.61,0.31,1.6,1,0.06,1.5,1.6,0,0,0,27,55,87,5,1.8,3.8,0.6,WC
North Goonyella,85,8.6,23.1,68.3,0.56,0.051,1.25,64,0,26,6,4,0,0,0,0,15,75,10,0,0,0,0,0,0,8.5,400,1000,52.5,35.5,4,1.9,0.9,0.4,0.7,1.7,0.04,0.5,1.3,0.1,0.1,0,23,68,88.5,4.8,1.95,4.1,0.61,HCC
Anglo American LV SHCC,85,10.6,20.9,68.5,0.51,0.06,1.3,55,0,33,7,5,0,0,0,0,5,32,41,16,4,2,0,0,0,7,450,100,53.1,30.1,6.3,3.85,1.02,0.65,0.52,1.47,0.07,1.01,1.29,0.1,0.1,0.02,28,62,89.2,4.84,1.92,3.49,0.57,SHCC
Carborough down (SHCC),80,8.5,20.8,68.9,0.3,0.05,1.3,45,0,43,48,3,0,0,0,0,4,32,60,4,0,0,0,0,0,6,430,30,48.43,30.2,7.51,3.8,1.07,0.23,0.41,1.8,0,0.45,1.1,0,0,0,36,59,88.6,4.56,1.76,4.8,0.32,SHCC
Moorvale (SHCC),80,10.6,19.2,70.1,0.46,0.061,1.32,50,0,48,5,2,0,0,0,0,0,24,68,8,0,0,0,0,0,7,440,20,54,29,5.5,4.3,1.2,1.4,0.8,0.1,0.5,1.6,1.6,0.1,0.2,0,30,58,89,4.7,1.7,4,0.57,SHCC
Russian Low Vol(SHCC),88,9.5,20.3,69.6,0.5,0.02,1.18,89,0,10,1,0,0,0,7,29,35,22,7,0,0,0,0,0,0,7.5,430,500,56.2,27.4,5.3,2.6,1.22,0.36,1.2,1.55,0,0,1.09,0.12,0.06,0.02,31,62,88.9,4.64,1.81,4.18,0.47,SHCC
MVF,82,9.5,31,58.5,0.4,0.02,1.18,91,0.9,1.4,9,0,0,25,37,22,16,0,0,0,0,0,0,0,0,8.5,385,30000,54.3,28.5,4.8,3.6,1.5,0.6,1.2,1.2,0.1,1.4,0.35,0.1,0.1,0.02,26,58,79.5,5.82,0.88,5.36,0,SHCC
Soft coal,80,8,32.5,58.5,0.55,0.03,1.18,65,3,6,28,5,13,35,17,22,2,8,3,0,0,0,0,0,0,5.5,395,250,58.6,30.8,3.2,1.4,0.78,0.33,0.8,0.9,0.04,0.5,1.62,0.1,0.1,0.02,35,48,87,5,1.8,3.8,0.6,SHCC
